sample,parameter,value
02-03324,particle density,1.0908
02-03324,bulk density,28.0
02-03325,bulk density,28.6
02-03325,particle density,1.0883
02-05854,particle density,1.1031
02-05854,bulk density,41.1
02-06141,particle density,1.1063
02-06141,bulk density,40.3
02-06142,bulk density,40.5
02-06142,particle density,1.1057000000000001
02-06143,bulk density,34.8
02-06143,particle density,1.1067
02-06144,bulk density,35.3
02-06144,particle density,1.1067
02-08391,particle density,1.073
02-08391,bulk density,35.8
02-08392,bulk density,36.4
02-08392,particle density,1.0727
02-09587,particle density,1.0852
02-09587,bulk density,27.4
02-09588,particle density,1.0854
02-09588,bulk density,26.9
02-13322,particle density,1.1004
02-13322,bulk density,39.5
02-13343,bulk density,28.1
02-13343,particle density,1.096
02-13344,bulk density,27.9
02-13344,particle density,1.0958999999999999
02-13345,particle density,1.0882
02-13345,bulk density,28.3
02-14002,particle density,1.0882
02-14002,bulk density,29.0
02-14009,bulk density,28.0
02-14009,particle density,1.087
02-16306,bulk density,42.0
02-16306,particle density,1.111
02-16307,bulk density,42.0
02-16307,particle density,1.1087
02-17342,particle density,1.0888
02-17342,bulk density,26.9
02-17343,particle density,1.0884
02-17343,bulk density,27.6
02-17436,particle density,1.091
02-17436,bulk density,41.0
02-17437,particle density,1.0918
02-17437,bulk density,41.0
02-22307,particle density,1.0932
02-22307,bulk density,28.0
02-24026,particle density,1.1024
02-24026,bulk density,41.0
02-24027,bulk density,41.0
02-24027,particle density,1.1019
02-24107,bulk density,13.41
02-24107,particle density,1.1057000000000001
02-24112,particle density,1.0874000000000001
02-24112,bulk density,39.0
02-24113,bulk density,39.0
02-24113,particle density,1.0878999999999999
02-24114,bulk density,40.0
02-24114,particle density,1.1044
02-24115,bulk density,39.0
02-24115,particle density,1.1082999999999998
03-00028,particle density,1.1002
03-00028,bulk density,41.0
03-00652,bulk density,28.3
03-00652,particle density,1.076
03-00754,particle density,1.0894
03-00754,bulk density,40.1
03-00755,bulk density,39.6
03-00755,particle density,1.0894
03-03678,particle density,1.076
03-03678,bulk density,26.9
03-03679,particle density,1.0761
03-03679,bulk density,27.2
03-03680,particle density,1.0779999999999998
03-03680,bulk density,26.3
03-05041,particle density,1.0724
03-05041,bulk density,37.0
03-05043,bulk density,38.0
