sample,bulk_density,particle_density,finalform
02-03324,-0.8794767993518435,-0.01810188146623638,Powder
02-05854,1.3658754665105233,0.3850591645992887,Pellets
02-06141,1.2287547174502254,0.489946591217965,Pellets
02-06142,1.2630349047153002,0.4702801987269587,Pellets
02-06143,0.2860495676606822,0.5030575195452978,Pellets
02-06144,0.3717500358233679,0.5030575195452978,Pellets
02-08392,0.5602910657812769,-0.6113713882781078,Pellets
02-09587,-0.9823173611470666,-0.2016548780489164,Powder
02-09588,-1.0680178293097524,-0.19509941388525004,Powder
02-13322,1.0916339683899288,0.2965603983897855,Pellets
02-13343,-0.8623367057193061,0.1523401867891109,Powder
02-13344,-0.8966168929843809,0.14906245470727772,Powder
02-13345,-0.8280565184542319,-0.10332291559390638,Powder
02-14002,-0.708075863026472,-0.10332291559390638,Powder
02-14009,-0.8794767993518435,-0.14265570057591184,Powder
02-16306,1.5201363092033575,0.6439999990641392,Pellets
02-16307,1.5201363092033575,0.5686121611819687,Pellets
02-17342,-1.0680178293097524,-0.08365652310290729,Powder
02-17343,-0.9480371738819918,-0.09676745143024003,Powder
02-17436,1.3487353728779858,-0.011546417302570016,Pellets
02-17437,1.3487353728779858,0.014675439352102719,Pellets
02-22307,-0.8794767993518435,0.06056368849776726,Powder
02-24026,1.3487353728779858,0.3621150400264564,Pellets
02-24027,1.3487353728779858,0.34572637961729047,Pellets
02-24107,-3.3802164603390135,0.4702801987269587,Granular
02-24112,1.005933500227243,-0.12954477224857913,Pellets
02-24113,1.005933500227243,-0.11315611183940594,Pellets
02-24114,1.1773344365526144,0.4276696816631273,Pellets
02-24115,1.005933500227243,0.5555012328546287,Pellets
03-00028,1.3487353728779858,0.2900049342261191,Pellets
03-00652,-0.8280565184542319,-0.5032062295775982,Powder
03-00754,1.1944745301851518,-0.06399013061190821,Pellets
03-00755,1.108774062022466,-0.06399013061190821,Pellets
03-03678,-1.0680178293097524,-0.5032062295775982,Powder
03-03679,-1.0165975484121408,-0.49992849749576507,Powder
03-05041,0.6631316275764999,-0.6212045845236074,Pellets
03-05043,0.8345325639018715,-0.5753163353779356,Pellets
03-06399,-1.050877735677215,-0.07710105893924094,Powder
03-06771,-0.8794767993518435,0.044175028088601354,Powder
03-07352,0.9373731256970946,-0.3065423046675855,Pellets
03-07353,0.16606891223292286,-0.23443219886724823,Pellets
03-07354,0.13178872496784808,-0.2508208592764141,Pellets
03-08763,-1.050877735677215,-0.2016548780489164,Powder
03-09866,1.2116146238176893,0.5260016441181373,Pellets
03-09867,1.3658754665105233,0.5423903045273032,Pellets
03-10381,1.3315952792454486,0.044175028088601354,Pellets
03-12637,-0.8451966120867693,0.11300740180710546,Powder
03-12638,-0.8966168929843809,0.11628513388893863,Powder
03-12639,-1.0165975484121408,0.04745276017043454,Powder
03-16531,-0.15959286678528273,-0.011546417302570016,Granular
03-16532,-0.33099380311065485,-0.047601470202735016,Granular
